step,baseline__seed0,baseline__seed1,baseline__seed2,epsilon_only__seed0,epsilon_only__seed1,epsilon_only__seed2,eligibility_only__seed0,eligibility_only__seed1,eligibility_only__seed2,no_gaussian__seed0,no_gaussian__seed1,no_gaussian__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,no_eligibility__seed0,no_eligibility__seed1,no_eligibility__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
110,14.0,9.0,103.0,22.0,18.0,16.0,14.0,9.0,9.0,24.0,24.0,34.0,14.0,14.0,115.0,16.0,58.0,15.0,13.0,15.0,86.0,500.0,191.0,14.0
111,10.0,9.0,114.0,21.0,15.0,25.0,10.0,9.0,11.0,23.0,22.0,26.0,17.0,13.0,122.0,17.0,54.0,18.0,17.0,15.0,119.0,246.0,34.0,22.0
112,10.0,11.0,111.0,23.0,22.0,17.0,10.0,11.0,9.0,20.0,32.0,23.0,14.0,15.0,115.0,15.0,46.0,23.0,12.0,10.0,118.0,500.0,268.0,17.0
113,10.0,11.0,105.0,13.0,17.0,20.0,10.0,11.0,9.0,30.0,22.0,21.0,10.0,19.0,113.0,13.0,56.0,15.0,16.0,19.0,114.0,388.0,160.0,15.0
114,10.0,9.0,106.0,20.0,22.0,12.0,10.0,9.0,8.0,27.0,24.0,13.0,13.0,21.0,109.0,14.0,61.0,18.0,13.0,19.0,109.0,444.0,167.0,17.0
115,9.0,8.0,111.0,18.0,15.0,16.0,9.0,8.0,9.0,28.0,20.0,22.0,13.0,13.0,112.0,16.0,57.0,15.0,13.0,13.0,118.0,500.0,78.0,20.0
116,11.0,9.0,113.0,19.0,24.0,22.0,11.0,9.0,10.0,14.0,28.0,28.0,10.0,17.0,79.0,17.0,19.0,21.0,10.0,23.0,118.0,214.0,185.0,24.0
117,11.0,15.0,110.0,21.0,26.0,13.0,11.0,15.0,10.0,50.0,22.0,18.0,15.0,21.0,111.0,20.0,57.0,13.0,15.0,15.0,87.0,500.0,163.0,19.0
118,10.0,9.0,117.0,15.0,26.0,21.0,10.0,9.0,10.0,102.0,19.0,31.0,10.0,11.0,114.0,20.0,48.0,15.0,15.0,13.0,120.0,500.0,143.0,35.0
119,10.0,10.0,111.0,21.0,26.0,13.0,10.0,10.0,9.0,22.0,18.0,19.0,12.0,13.0,90.0,26.0,34.0,13.0,13.0,10.0,115.0,500.0,16.0,19.0
120,15.0,9.0,118.0,13.0,20.0,19.0,15.0,9.0,10.0,62.0,19.0,20.0,10.0,13.0,12.0,23.0,56.0,17.0,11.0,19.0,119.0,435.0,162.0,26.0
121,14.0,12.0,120.0,20.0,18.0,29.0,14.0,12.0,10.0,38.0,26.0,27.0,11.0,14.0,117.0,29.0,62.0,19.0,10.0,21.0,118.0,235.0,125.0,27.0
122,10.0,10.0,102.0,15.0,27.0,12.0,10.0,10.0,8.0,44.0,30.0,16.0,10.0,10.0,108.0,20.0,72.0,10.0,15.0,21.0,113.0,430.0,16.0,30.0
123,10.0,8.0,112.0,14.0,16.0,16.0,10.0,8.0,10.0,68.0,18.0,26.0,15.0,13.0,88.0,15.0,60.0,17.0,10.0,17.0,121.0,459.0,13.0,41.0
